U56;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
305;Head of State;Nestor Ivanovych Makhno;1914;1999;1999;LWR;Powerhungry Demagogue;Medium;Nestor Ivanovych Makhno;X
306;Head of Government;Nestor Ivanovych Makhno;1914;1999;1999;LWR;Flamboyant Tough Guy;Medium;Nestor Ivanovych Makhno;X
307;Minister of Security;Fedir Shchus;1914;1999;1999;LWR;Prince of Terror;Medium;Fedir Shchus;X
310;Chief of Staff;Viktor Fedorovich Belash;1914;1999;1999;LWR;School of Psychology;Medium;Viktor Fedorovich Belash;X
312;Chief of Navy;Dmitry Ivanovich Popov;1914;1999;1999;LWR;Base Control Doctrine;Medium;Dmitry Ivanovich Popov;X
314;Chief of Air Force;Simon Karetnik;1914;1999;1999;LWR;Army Aviation Doctrine;Medium;Simon Karetnik;X
315;Chief of Army;Nestor Ivanovych Makhno;1914;1999;1999;LWR;Decisive Battle Doctrine;Medium;Nestor Ivanovych Makhno;X
313;Head of Military Intelligence;Lev Nikolaevich Zadov;1914;1999;1999;LWR;Political Specialist;Medium;Lev Nikolaevich Zadov;X
309;Foreign Minister;Aaron Baron;1914;1999;1999;LWR;Ideological Crusader;Medium;Aaron Baron;X
308;Minister of Armament;Vsévolod Mikhaïlovitch Eichenbaum;1914;1999;1999;LWR;Administrative Genius;Medium;Vsévolod Mikhaïlovitch Eichenbaum;X
311;Minister of Armament;Pëtr Andreevic Aršinov;1914;1999;1999;LWR;Resource Industrialist;Medium;Pëtr Andreevic Aršinov;X
